"operator(color)","airline (callsign)","flight number","airplane type","from  (ICAO)","to (ICAO)","approach time","departure time","approach altitude override (feet)","special"
TAB,TAB,5523,FRJ1,KDCA,KRDU,06:16,,,
LAW,LAW,800,FRJ1,KORF,KRDU,06:16,,,
VAL,VAL,3602,EJT1,KJFK,KRDU,06:17,,,
MAX,MAX,1272,FRJ1,KDEN,KRDU,06:27,,,
VAL,VAL,4172,EJT1,KLAX,KRDU,06:27,,,
TAB,TAB,5239,FRJ1,KBOS,KRDU,06:30,,,
MAX,MAX,6684,FRJ1,KIAD,KRDU,06:32,,,
VAL,VAL,8201,FRJ1,KIAH,KRDU,06:36,,,
MAX,MAX,1356,FRJ1,KLGA,KRDU,06:36,,,
DEN,DEN,8664,EJT1,KJFK,KRDU,06:36,,,
DEN,DEN,6280,EJT1,KTPA,KRDU,06:36,,,
MAX,MAX,6648,FRJ1,KIAD,KRDU,06:38,,,
MAX,MAX,6597,FRJ1,KBOS,KRDU,06:38,,,
TAB,TAB,6522,EJT1,KCLT,KRDU,06:39,,,
DEN,DEN,739,EJT1,KTTN,KRDU,06:40,,,
VAL,VAL,8731,FRJ1,KORD,KRDU,06:47,,,
MAX,MAX,9649,FRJ1,KLGA,KRDU,06:49,,,
MAX,MAX,4133,FRJ1,KBNA,KRDU,06:50,,,
TAB,TAB,3277,EJT1,KHVN,KRDU,06:53,,,
DEN,DEN,3943,EJT1,KCLT,KRDU,07:03,,,
DEN,DEN,6807,EJT1,KEWR,KRDU,07:03,,,
MAX,MAX,2144,FRJ1,KJFK,KRDU,07:06,,,
VAL,VAL,1816,EJT1,KJFK,KRDU,07:06,,,
TAB,TAB,1690,FRJ1,KDFW,KRDU,07:08,,,
MAX,MAX,6334,FRJ1,KDTW,KRDU,07:12,,,
MAX,MAX,2656,FRJ1,KJFK,KRDU,07:18,,,
DEN,DEN,3664,EJT1,KTTN,KRDU,07:20,,,
VAL,VAL,67,EJT1,KDCA,KRDU,07:22,,,
FRT,FRT,2520,EJT1,KOAJ,KRDU,07:27,,,
FRT,FRT,6959,EJT1,KSEA,KRDU,07:29,,,
TAB,TAB,2883,EJT1,KSEA,KRDU,07:29,,,
MAX,MAX,792,FRJ1,KDCA,KRDU,07:30,,,
TAB,TAB,9363,EJT1,KLAS,KRDU,07:32,,,
TAB,TAB,6265,EJT1,KBOS,KRDU,07:35,,,
MAX,MAX,2448,FRJ1,KLGA,KRDU,07:37,,,
TAB,TAB,2114,EJT1,KPIT,KRDU,07:39,,,
TAB,TAB,1028,FRJ1,KBNA,KRDU,07:43,,,
DEN,DEN,2449,EJT1,KTPA,KRDU,07:47,,,
TAB,TAB,8008,FRJ1,CYYZ,KRDU,07:55,,,
MAX,MAX,1572,FRJ1,KBWI,KRDU,07:56,,,
MAX,MAX,2847,FRJ1,KEWR,KRDU,07:59,,,
DEN,DEN,8451,EJT1,KMIA,KRDU,08:01,,,
FRT,FRT,5420,AJT0,KJFK,KRDU,08:02,,,
MAX,MAX,9298,FRJ1,KIAD,KRDU,08:05,,,
VAL,VAL,9934,FRJ1,KMCO,KRDU,08:08,,,
MAX,MAX,4101,FRJ1,KDTW,KRDU,08:08,,,
TAB,TAB,9946,EJT1,KBOS,KRDU,08:09,,,
TAB,TAB,1658,EJT1,KCLT,KRDU,08:10,,,
VAL,VAL,7363,FRJ1,KBOS,KRDU,08:22,,,
TAB,TAB,551,FRJ1,KEWR,KRDU,08:24,,,
MAX,MAX,1606,FRJ1,KMIA,KRDU,08:31,,,
MAX,MAX,7703,FRJ1,KEWR,KRDU,08:33,,,
TAB,TAB,5688,FRJ1,KBOS,KRDU,08:33,,,
MAX,MAX,2107,FRJ1,KJAX,KRDU,08:33,,,
VAL,VAL,1582,EJT1,TJSJ,KRDU,08:37,,,
MAX,MAX,3379,FRJ1,KPHL,KRDU,08:40,,,
VAL,VAL,8984,EJT1,CYUL,KRDU,08:40,,,
MAX,MAX,1912,FRJ1,KLGA,KRDU,08:41,,,
MAX,MAX,4937,FRJ1,KMSP,KRDU,08:41,,,
VAL,VAL,1516,EJT1,KBNA,KRDU,08:41,,,
DEN,DEN,1575,FRJ1,KCLT,KRDU,08:43,,,
MAX,MAX,6617,FRJ1,KJFK,KRDU,08:44,,,
VAL,VAL,5681,EJT1,KDCA,KRDU,08:51,,,
DEN,DEN,4397,FRJ1,KCLT,KRDU,08:53,,,
MAX,MAX,5782,FRJ1,KMCO,KRDU,08:57,,,
MAX,MAX,5489,FRJ1,KJFK,KRDU,08:58,,,
VAL,VAL,7284,EJT1,KJFK,KRDU,09:01,,,
DEN,DEN,333,EJT1,KTPA,KRDU,09:08,,,
TAB,TAB,4075,FRJ1,KBNA,KRDU,09:09,,,
TAB,TAB,8624,FRJ1,KDFW,KRDU,09:10,,,
VAL,VAL,7704,EJT1,KDCA,KRDU,09:12,,,
DEN,DEN,7200,FRJ1,KJFK,KRDU,09:12,,,
MAX,MAX,6125,FRJ1,KCLT,KRDU,09:13,,,
FRT,FRT,1706,EJT1,KPHL,KRDU,09:14,,,
MAX,MAX,1097,FRJ1,LFPG,KRDU,09:16,,,
MAX,MAX,8355,FRJ1,KSLC,KRDU,09:21,,,
MAX,MAX,6724,FRJ1,KMDT,KRDU,09:22,,,
MAX,MAX,2517,FRJ1,KMIA,KRDU,09:26,,,
MAX,MAX,1756,FRJ1,KBOS,KRDU,09:29,,,
FRT,FRT,2234,EJT1,KATL,KRDU,09:30,,,
FRT,FRT,2710,EJT1,KLGA,KRDU,09:31,,,
DEN,DEN,2007,FRJ1,CYYZ,KRDU,09:32,,,
VAL,VAL,2704,EJT1,KATL,KRDU,09:32,,,
MAX,MAX,1969,FRJ1,KLGA,KRDU,09:36,,,
MAX,MAX,5354,FRJ1,KMDW,KRDU,09:38,,,
DEN,DEN,5180,FRJ1,KCLT,KRDU,09:39,,,
TAB,TAB,5103,EJT1,KATL,KRDU,09:40,,,
TAB,TAB,7257,EJT1,KDCA,KRDU,09:44,,,
VAL,VAL,4683,EJT1,KJFK,KRDU,09:49,,,
DEN,DEN,9068,EJT1,KCLT,KRDU,09:52,,,
MAX,MAX,3130,FRJ1,KLGA,KRDU,09:56,,,
MAX,MAX,9115,FRJ1,KIAH,KRDU,09:57,,,
TAB,TAB,7512,EJT1,KATL,KRDU,09:58,,,
TAB,TAB,6492,EJT1,KEWR,KRDU,09:58,,,
DEN,DEN,9996,EJT1,KTPA,KRDU,10:02,,,
DEN,DEN,6229,EJT1,KMIA,KRDU,10:06,,,
DEN,DEN,2771,EJT1,EGLL,KRDU,10:07,,,
TAB,TAB,1024,EJT1,KMCO,KRDU,10:07,,,
DEN,DEN,3517,EJT1,EGLL,KRDU,10:09,,,
TAB,TAB,4445,EJT1,KJFK,KRDU,10:11,,,
MAX,MAX,6816,FRJ1,KLGA,KRDU,10:11,,,
MAX,MAX,9613,FRJ1,KDCA,KRDU,10:15,,,
VAL,VAL,7582,EJT1,KJFK,KRDU,10:17,,,
FRT,FRT,8738,EJT1,KDCA,KRDU,10:20,,,
FRT,FRT,2847,AJT0,KJFK,KRDU,10:22,,,
DEN,DEN,4405,EJT1,KMIA,KRDU,10:26,,,
VAL,VAL,1578,EJT1,KAUS,KRDU,10:28,,,
TAB,TAB,3983,FRJ1,KEWR,KRDU,10:29,,,
DEN,DEN,1010,EJT1,KJFK,KRDU,10:33,,,
VAL,VAL,3227,BTRP,KLGA,KRDU,10:33,,,
MAX,MAX,6655,FRJ1,TJSJ,KRDU,10:34,,,
MAX,MAX,6467,FRJ1,KLGA,KRDU,10:35,,,
MAX,MAX,157,FRJ1,KSLC,KRDU,10:39,,,
MAX,MAX,2703,FRJ1,KMCO,KRDU,10:42,,,
TAB,TAB,8806,EJT1,KMSP,KRDU,10:43,,,
DEN,DEN,9568,EJT1,KIAH,KRDU,10:44,,,
DEN,DEN,3914,EJT1,KJFK,KRDU,10:46,,,
MAX,MAX,3712,FRJ1,KBNA,KRDU,10:50,,,
MAX,MAX,9042,FRJ1,KIAH,KRDU,10:51,,,
VAL,VAL,603,EJT1,KBNA,KRDU,10:53,,,
TAB,TAB,387,FRJ1,KDFW,KRDU,10:55,,,
DEN,DEN,27,EJT1,KMIA,KRDU,10:56,,,
MAX,MAX,5650,FRJ1,KPHL,KRDU,10:58,,,
DEN,DEN,5006,EJT1,KTPA,KRDU,11:02,,,
LAW,LAW,5495,FRJ1,KORF,KRDU,11:03,,,
FRT,FRT,8588,EJT1,KMCO,KRDU,11:03,,,
DEN,DEN,9688,FRJ1,KFLL,KRDU,11:03,,,
MAX,MAX,9632,FRJ1,KATL,KRDU,11:04,,,
MAX,MAX,1710,FRJ1,KEWR,KRDU,11:05,,,
MAX,MAX,4868,FRJ1,KMIA,KRDU,11:07,,,
DEN,DEN,5585,EJT1,KJFK,KRDU,11:11,,,
TAB,TAB,5700,FRJ1,KBOS,KRDU,11:12,,,
MAX,MAX,8999,FRJ1,KLGA,KRDU,11:15,,,
DEN,DEN,7311,EJT1,KMIA,KRDU,11:15,,,
MAX,MAX,5417,FRJ1,BIKF,KRDU,11:18,,,
TAB,TAB,3097,EJT1,KILM,KRDU,11:22,,,
FRT,FRT,4424,EJT1,KDCA,KRDU,11:23,,,
MAX,MAX,3965,FRJ1,KSLC,KRDU,11:24,,,
FRT,FRT,9122,EJT1,KATL,KRDU,11:24,,,
VAL,VAL,950,EJT1,KDCA,KRDU,11:24,,,
VAL,VAL,1121,EJT1,TJSJ,KRDU,11:25,,,
FRT,FRT,6247,EJT1,KMCO,KRDU,11:26,,,
FRT,FRT,1457,AJT0,KJFK,KRDU,11:30,,,
FRT,FRT,2414,EJT1,KPHL,KRDU,11:37,,,
VAL,VAL,6662,EJT1,KDCA,KRDU,11:38,,,
DEN,DEN,8959,FRJ1,KJFK,KRDU,11:39,,,
MAX,MAX,4809,FRJ1,KFLL,KRDU,11:42,,,
MAX,MAX,7686,FRJ1,KECP,KRDU,11:45,,,
TAB,TAB,428,EJT1,KDCA,KRDU,11:46,,,
MAX,MAX,2315,FRJ1,KCLT,KRDU,11:58,,,
MAX,MAX,9058,FRJ1,KBNA,KRDU,11:58,,,
MAX,MAX,1981,FRJ1,KMDW,KRDU,11:59,,,
VAL,VAL,2915,FRJ1,KIAH,KRDU,11:59,,,
MAX,MAX,4059,FRJ1,KORD,KRDU,11:59,,,
VAL,VAL,6790,EJT1,KMCO,KRDU,12:00,,,
MAX,MAX,3964,FRJ1,KATL,KRDU,12:01,,,
MAX,MAX,2577,FRJ1,KBOS,KRDU,12:01,,,
DEN,DEN,3244,EJT1,KEWR,KRDU,12:03,,,
VAL,VAL,4259,EJT1,KEWR,KRDU,12:07,,,
MAX,MAX,4716,FRJ1,KEWR,KRDU,12:09,,,
VAL,VAL,1946,EJT1,KEWR,KRDU,12:11,,,
MAX,MAX,2274,FRJ1,KSLC,KRDU,12:12,,,
FRT,FRT,6141,EJT1,KBTV,KRDU,12:20,,,
MAX,MAX,7641,FRJ1,KMDW,KRDU,12:20,,,
VAL,VAL,955,EJT1,CYUL,KRDU,12:22,,,
VAL,VAL,7467,EJT1,KJFK,KRDU,12:24,,,
MAX,MAX,2845,FRJ1,KAUS,KRDU,12:25,,,
VAL,VAL,7285,BTRP,KBOS,KRDU,12:26,,,
MAX,MAX,5710,FRJ1,KPHX,KRDU,12:29,,,
VAL,VAL,5144,EJT1,KFLL,KRDU,12:34,,,
MAX,MAX,9949,FRJ1,KMCO,KRDU,12:34,,,
VAL,VAL,4590,EJT1,KDCA,KRDU,12:35,,,
MAX,MAX,8093,FRJ1,KBOS,KRDU,12:35,,,
MAX,MAX,7000,FRJ1,KJFK,KRDU,12:40,,,
MAX,MAX,9265,FRJ1,KDEN,KRDU,12:41,,,
VAL,VAL,3779,EJT1,TJSJ,KRDU,12:42,,,
DEN,DEN,4194,EJT1,KJFK,KRDU,12:47,,,
TAB,TAB,2592,EJT1,KILM,KRDU,12:49,,,
MAX,MAX,8832,FRJ1,KLGA,KRDU,12:51,,,
TAB,TAB,9628,EJT1,KLAX,KRDU,12:52,,,
TAB,TAB,4880,FRJ1,KDCA,KRDU,12:58,,,
MAX,MAX,1946,FRJ1,KEWN,KRDU,12:58,,,
VAL,VAL,1282,FRJ1,KATL,KRDU,12:59,,,
MAX,MAX,2554,FRJ1,KJFK,KRDU,13:01,,,
VAL,VAL,6526,EJT1,LFPG,KRDU,13:03,,,
MAX,MAX,6085,FRJ1,KBWI,KRDU,13:06,,,
MAX,MAX,3252,FRJ1,KMCO,KRDU,13:07,,,
VAL,VAL,8627,FRJ1,KEWR,KRDU,13:09,,,
FRT,FRT,9133,EJT1,KSEA,KRDU,13:10,,,
MAX,MAX,1847,FRJ1,KJFK,KRDU,13:13,,,
FRT,FRT,722,EJT1,KLGA,KRDU,13:14,,,
MAX,MAX,4863,FRJ1,KCLT,KRDU,13:15,,,
MAX,MAX,6234,FRJ1,KORD,KRDU,13:16,,,
VAL,VAL,1656,EJT1,KATL,KRDU,13:17,,,
MAX,MAX,8846,FRJ1,KPIT,KRDU,13:18,,,
MAX,MAX,106,FRJ1,KMIA,KRDU,13:18,,,
MAX,MAX,3815,FRJ1,KORD,KRDU,13:25,,,
VAL,VAL,1459,EJT1,KCMH,KRDU,13:25,,,
VAL,VAL,9194,EJT1,KEWR,KRDU,13:28,,,
MAX,MAX,6115,FRJ1,KLGA,KRDU,13:30,,,
VAL,VAL,7524,EJT1,KLGA,KRDU,13:32,,,
VAL,VAL,1977,EJT1,KJFK,KRDU,13:36,,,
MAX,MAX,5284,FRJ1,KBNA,KRDU,13:37,,,
MAX,MAX,2365,FRJ1,KIAD,KRDU,13:38,,,
MAX,MAX,4469,FRJ1,KPIT,KRDU,13:40,,,
TAB,TAB,3888,EJT1,KMCO,KRDU,13:40,,,
MAX,MAX,5914,FRJ1,KLGA,KRDU,13:44,,,
MAX,MAX,4793,FRJ1,KCLT,KRDU,13:44,,,
VAL,VAL,3011,EJT1,KLAX,KRDU,13:49,,,
FRT,FRT,9769,EJT1,KDCA,KRDU,13:49,,,
MAX,MAX,9984,FRJ1,KAUS,KRDU,13:52,,,
VAL,VAL,4411,EJT1,KDFW,KRDU,13:55,,,
VAL,VAL,4631,EJT1,KJFK,KRDU,13:57,,,
MAX,MAX,9836,FRJ1,KMIA,KRDU,13:59,,,
MAX,MAX,1,FRJ1,KEWN,KRDU,14:02,,,
DEN,DEN,992,EJT1,KMIA,KRDU,14:05,,,
TAB,TAB,3588,FRJ1,KEWR,KRDU,14:07,,,
VAL,VAL,1116,EJT1,KPIT,KRDU,14:09,,,
DEN,DEN,7235,EJT1,KDCA,KRDU,14:09,,,
MAX,MAX,1383,FRJ1,KJFK,KRDU,14:11,,,
MAX,MAX,9593,FRJ1,KEWR,KRDU,14:11,,,
MAX,MAX,8657,FRJ1,KBOS,KRDU,14:12,,,
TAB,TAB,6577,EJT1,KCLT,KRDU,14:19,,,
MAX,MAX,3297,FRJ1,KBOS,KRDU,14:21,,,
VAL,VAL,9228,FRJ1,KEWR,KRDU,14:23,,,
TAB,TAB,9726,FRJ1,KDFW,KRDU,14:26,,,
MAX,MAX,1860,FRJ1,KRDU,KRDU,14:28,,,
DEN,DEN,5345,EJT1,KTPA,KRDU,14:30,,,
DEN,DEN,419,EJT1,EGLL,KRDU,14:31,,,
MAX,MAX,3673,FRJ1,KLGA,KRDU,14:32,,,
VAL,VAL,379,EJT1,KEWR,KRDU,14:33,,,
MAX,MAX,1134,FRJ1,KATL,KRDU,14:34,,,
VAL,VAL,9637,EJT1,KAUS,KRDU,14:34,,,
DEN,DEN,3514,EJT1,EGLL,KRDU,14:37,,,
VAL,VAL,7355,EJT1,KFLL,KRDU,14:40,,,
TAB,TAB,9968,EJT1,KMCO,KRDU,14:41,,,
MAX,MAX,5998,FRJ1,KHVN,KRDU,14:44,,,
VAL,VAL,189,EJT1,KATL,KRDU,14:45,,,
MAX,MAX,2057,FRJ1,KORD,KRDU,14:48,,,
LAW,LAW,9831,FRJ1,KORF,KRDU,14:52,,,
MAX,MAX,171,FRJ1,KDCA,KRDU,14:55,,,
DEN,DEN,8458,FRJ1,KJFK,KRDU,14:56,,,
MAX,MAX,5617,FRJ1,KMIA,KRDU,14:57,,,
MAX,MAX,9363,FRJ1,KBOS,KRDU,14:58,,,
MAX,MAX,1863,FRJ1,KMDW,KRDU,15:05,,,
MAX,MAX,6310,FRJ1,KBOS,KRDU,15:05,,,
MAX,MAX,232,FRJ1,KEWR,KRDU,15:06,,,
TAB,TAB,6397,FRJ1,KLGA,KRDU,15:07,,,
VAL,VAL,1655,EJT1,KAUS,KRDU,15:09,,,
VAL,VAL,7855,BTRP,KPHL,KRDU,15:12,,,
MAX,MAX,6518,FRJ1,KLGA,KRDU,15:13,,,
MAX,MAX,2700,FRJ1,KBOS,KRDU,15:20,,,
VAL,VAL,4224,EJT1,KIAD,KRDU,15:21,,,
FRT,FRT,7812,EJT1,KMCO,KRDU,15:26,,,
VAL,VAL,6521,FRJ1,KEWR,KRDU,15:29,,,
MAX,MAX,8866,FRJ1,KATL,KRDU,15:29,,,
DEN,DEN,5400,FRJ1,KJFK,KRDU,15:30,,,
DEN,DEN,1987,EJT1,KIAH,KRDU,15:31,,,
VAL,VAL,3137,EJT1,KSTL,KRDU,15:33,,,
MAX,MAX,4743,FRJ1,KPIT,KRDU,15:34,,,
MAX,MAX,2029,FRJ1,KDEN,KRDU,15:37,,,
TAB,TAB,570,EJT1,KMCO,KRDU,15:43,,,
MAX,MAX,4374,FRJ1,KLGA,KRDU,15:43,,,
VAL,VAL,9337,FRJ1,KDFW,KRDU,15:45,,,
VAL,VAL,9391,EJT1,BIKF,KRDU,15:47,,,
VAL,VAL,8851,EJT1,KSDF,KRDU,15:48,,,
VAL,VAL,4773,EJT1,CYYZ,KRDU,15:48,,,
MAX,MAX,1118,FRJ1,KJFK,KRDU,15:50,,,
MAX,MAX,2481,FRJ1,KLGA,KRDU,15:51,,,
FRT,FRT,32,EJT1,KOAJ,KRDU,15:53,,,
MAX,MAX,4994,FRJ1,KIAH,KRDU,15:55,,,
MAX,MAX,3399,FRJ1,KBOS,KRDU,15:55,,,
VAL,VAL,9058,EJT1,KDEN,KRDU,16:01,,,
MAX,MAX,7404,FRJ1,KFLL,KRDU,16:02,,,
VAL,VAL,1213,EJT1,KDCA,KRDU,16:03,,,
VAL,VAL,1135,EJT1,KIAD,KRDU,16:03,,,
MAX,MAX,3041,FRJ1,KJFK,KRDU,16:04,,,
MAX,MAX,7213,FRJ1,KIAD,KRDU,16:09,,,
VAL,VAL,1435,FRJ1,KDFW,KRDU,16:10,,,
TAB,TAB,2918,EJT1,KLAS,KRDU,16:10,,,
FRT,FRT,9494,EJT1,KDFW,KRDU,16:11,,,
VAL,VAL,5462,EJT1,TJSJ,KRDU,16:14,,,
MAX,MAX,3690,FRJ1,KBNA,KRDU,16:17,,,
MAX,MAX,2564,FRJ1,KLGA,KRDU,16:19,,,
TAB,TAB,7155,EJT1,KSTL,KRDU,16:20,,,
MAX,MAX,7679,FRJ1,KJFK,KRDU,16:24,,,
FRT,FRT,6909,EJT1,KBTV,KRDU,16:24,,,
DEN,DEN,1826,EJT1,MDPC,KRDU,16:26,,,
MAX,MAX,6992,FRJ1,KMIA,KRDU,16:26,,,
FRT,FRT,8489,EJT1,KBTV,KRDU,16:28,,,
VAL,VAL,4568,BTRP,KEWR,KRDU,16:29,,,
VAL,VAL,4011,EJT1,BIKF,KRDU,16:29,,,
VAL,VAL,7052,FRJ1,KBOS,KRDU,16:34,,,
MAX,MAX,7314,FRJ1,KIAH,KRDU,16:39,,,
VAL,VAL,7802,EJT1,KFLL,KRDU,16:42,,,
TAB,TAB,9600,EJT1,KIAD,KRDU,16:43,,,
MAX,MAX,4085,FRJ1,KLGA,KRDU,16:46,,,
MAX,MAX,6280,FRJ1,KILM,KRDU,16:46,,,
MAX,MAX,9972,FRJ1,KMIA,KRDU,16:47,,,
MAX,MAX,3011,FRJ1,KEWR,KRDU,16:48,,,
MAX,MAX,1537,FRJ1,KATL,KRDU,16:51,,,
VAL,VAL,9114,FRJ1,KEWR,KRDU,16:53,,,
MAX,MAX,3917,FRJ1,KJFK,KRDU,16:56,,,
MAX,MAX,1623,FRJ1,KBOS,KRDU,16:56,,,
MAX,MAX,2861,FRJ1,KBOS,KRDU,17:00,,,
DEN,DEN,3120,EJT1,KLGA,KRDU,17:01,,,
MAX,MAX,3641,FRJ1,KMCO,KRDU,17:03,,,
VAL,VAL,6819,BTRP,KMDW,KRDU,17:04,,,
TAB,TAB,6599,FRJ1,KLGA,KRDU,17:09,,,
MAX,MAX,5387,FRJ1,KBOS,KRDU,17:13,,,
DEN,DEN,5826,EJT1,KEWR,KRDU,17:19,,,
VAL,VAL,8186,EJT1,KDCA,KRDU,17:20,,,
DEN,DEN,552,EJT1,KMIA,KRDU,17:21,,,
VAL,VAL,219,FRJ1,KMCO,KRDU,17:24,,,
TAB,TAB,5248,FRJ1,KBNA,KRDU,17:24,,,
DEN,DEN,6567,EJT1,KJFK,KRDU,17:24,,,
FRT,FRT,6879,EJT1,KBTV,KRDU,17:25,,,
TAB,TAB,1810,FRJ1,CYYZ,KRDU,17:25,,,
VAL,VAL,2182,EJT1,KAUS,KRDU,17:27,,,
DEN,DEN,1712,FRJ1,KAPF,KRDU,17:29,,,
TAB,TAB,1942,FRJ1,KEWR,KRDU,17:30,,,
MAX,MAX,2947,FRJ1,KBOS,KRDU,17:33,,,
VAL,VAL,4126,EJT1,KBWI,KRDU,17:33,,,
TAB,TAB,3991,EJT1,KCLT,KRDU,17:35,,,
DEN,DEN,5464,EJT1,KTPA,KRDU,17:43,,,
MAX,MAX,984,FRJ1,KDCA,KRDU,17:46,,,
MAX,MAX,6346,FRJ1,KORD,KRDU,17:47,,,
MAX,MAX,1744,FRJ1,KDEN,KRDU,17:48,,,
VAL,VAL,9601,FRJ1,KATL,KRDU,17:48,,,
TAB,TAB,1612,FRJ1,KBNA,KRDU,17:50,,,
MAX,MAX,7050,FRJ1,KAUS,KRDU,17:50,,,
VAL,VAL,6761,EJT1,KJFK,KRDU,17:52,,,
VAL,VAL,7241,EJT1,CYYZ,KRDU,17:53,,,
MAX,MAX,8423,FRJ1,KJFK,KRDU,17:53,,,
DEN,DEN,1382,EJT1,KORD,KRDU,17:56,,,
MAX,MAX,381,FRJ1,KBNA,KRDU,17:56,,,
MAX,MAX,1545,FRJ1,KDEN,KRDU,17:56,,,
MAX,MAX,2068,FRJ1,KJFK,KRDU,17:58,,,
MAX,MAX,9703,FRJ1,KMIA,KRDU,17:58,,,
VAL,VAL,4036,EJT1,KJFK,KRDU,18:01,,,
VAL,VAL,4038,EJT1,KAUS,KRDU,18:05,,,
VAL,VAL,91,EJT1,KBOS,KRDU,18:05,,,
MAX,MAX,5227,FRJ1,KIAD,KRDU,18:05,,,
DEN,DEN,1605,EJT1,KEWR,KRDU,18:06,,,
DEN,DEN,2664,FRJ1,KCLT,KRDU,18:12,,,
MAX,MAX,6382,FRJ1,KPHL,KRDU,18:13,,,
MAX,MAX,3459,FRJ1,BIKF,KRDU,18:14,,,
FRT,FRT,6834,EJT1,KMCO,KRDU,18:16,,,
MAX,MAX,2067,FRJ1,KBNA,KRDU,18:18,,,
MAX,MAX,1236,FRJ1,KATL,KRDU,18:23,,,
MAX,MAX,2722,FRJ1,KSLC,KRDU,18:23,,,
VAL,VAL,2275,BTRP,KLGA,KRDU,18:25,,,
VAL,VAL,4098,BTRP,KMDW,KRDU,18:25,,,
MAX,MAX,8260,FRJ1,KMDW,KRDU,18:26,,,
TAB,TAB,1069,FRJ1,KBNA,KRDU,18:26,,,
VAL,VAL,8589,FRJ1,KCLT,KRDU,18:29,,,
VAL,VAL,4989,BTRP,KRDU,KRDU,18:30,,,
VAL,VAL,9925,BTRP,KCLT,KRDU,18:36,,,
DEN,DEN,6159,EJT1,MDPC,KRDU,18:40,,,
MAX,MAX,1878,FRJ1,KJFK,KRDU,18:42,,,
FRT,FRT,6773,AJT0,KJFK,KRDU,18:43,,,
