operator(color),airline (callsign),flight number,airplane type,from  (ICAO),to (ICAO),approach time,departure time,approach altitude override (feet),special
DEN,DEN,504,BIZ0,KNUQ,KBUR,19:07,,,
VAL,VAL,2350,EJT1,KSMF,KBUR,19:27,,,
VAL,VAL,1958,EJT1,KPHX,KBUR,19:29,,,
VAL,VAL,3704,EJT1,KLAS,KBUR,19:31,,,
TAB,TAB,5805,FRJ1,KSFO,KBUR,19:35,,,
DEN,DEN,1652,EJT1,KLAS,KBUR,19:40,,,
VAL,VAL,2103,EJT1,KBNA,KBUR,19:44,,,
MAX,MAX,1052,EJT1,KSEA,KBUR,19:53,,,
VAL,VAL,340,EJT1,KLAS,KBUR,20:08,,,
MAX,MAX,1294,EJT1,KPDX,KBUR,20:10,,,
VAL,VAL,331,EJT1,KSJC,KBUR,20:12,,,
VAL,VAL,359,EJT1,KJFK,KBUR,20:24,,,
VAL,VAL,2395,EJT1,KPDX,KBUR,20:26,,,
VAL,VAL,3249,EJT1,KOAK,KBUR,20:28,,,
FRT,FRT,179,FRJ1,KOAK,KBUR,20:35,,,
VAL,VAL,1983,EJT1,KPHX,KBUR,20:52,,,
FRT,FRT,113,FRJ1,KLAS,KBUR,20:55,,,
FRT,FRT,2597,EJT1,KDFW,KBUR,20:57,,,
MAX,MAX,1062,EJT1,KPDX,KBUR,21:06,,,
VAL,VAL,1734,EJT1,KSFO,KBUR,21:15,,,
VAL,VAL,2548,EJT1,KSJC,KBUR,21:37,,,
TAB,TAB,464,EJT1,KDEN,KBUR,21:39,,,
VAL,VAL,4868,EJT1,KSMF,KBUR,21:41,,,
TAB,TAB,4798,FRJ1,KSFO,KBUR,21:42,,,
DEN,DEN,186,EJT1,KSLE,KBUR,21:46,,,
MAX,MAX,3864,FRJ1,KSLC,KBUR,21:48,,,
DEN,DEN,139,EJT1,KCOS,KBUR,21:51,,,
FRT,FRT,552,FRJ1,KBJC,KBUR,21:53,,,
VAL,VAL,3602,EJT1,KDEN,KBUR,21:56,,,
MAX,MAX,1168,EJT1,KSEA,KBUR,22:00,,,
VAL,VAL,2554,EJT1,KOAK,KBUR,22:32,,,
EMF,EMF,1948,BTRP,KBUR,KBFL,,06:20,,
DEN,DEN,195,EJT1,KBUR,KACV,,07:04,,
EMF,EMF,2627,EJT1,KBUR,KRFD,,07:07,,cargo
EMF,EMF,1944,BTRP,KBUR,KSBP,,07:12,,
EMF,EMF,1942,BTRP,KBUR,KSBP,,07:13,,
DEN,DEN,101,EJT1,KBUR,KSTS,,07:24,,
MAX,MAX,1041,EJT1,KBUR,KSEA,,07:30,,
VAL,VAL,785,EJT1,KBUR,KDEN,,07:32,,
VAL,VAL,438,EJT1,KBUR,KSJC,,07:34,,
MAX,MAX,3681,FRJ1,KBUR,KSLC,,07:35,,
VAL,VAL,981,EJT1,KBUR,KSFO,,07:41,,
VAL,VAL,3114,EJT1,KBUR,KSMF,,07:48,,
TAB,TAB,5552,FRJ1,KBUR,KSFO,,07:51,,
FRT,FRT,2599,EJT1,KBUR,KDFW,,08:00,,
VAL,VAL,3020,EJT1,KBUR,KOAK,,08:11,,
VAL,VAL,1048,EJT1,KBUR,KPHX,,08:13,,
VAL,VAL,965,EJT1,KBUR,KLAS,,08:16,,
MAX,MAX,1057,EJT1,KBUR,KPDX,,08:27,,
FRT,FRT,551,FRJ1,KBUR,KBJC,,08:28,,
DEN,DEN,119,EJT1,KBUR,KRDM,,08:40,,
VAL,VAL,898,EJT1,KBUR,KPDX,,08:41,,
VAL,VAL,1173,EJT1,KBUR,KSJC,,08:45,,
FRT,FRT,102,FRJ1,KBUR,KLAS,,08:46,,
VAL,VAL,2162,EJT1,KBUR,KOAK,,08:49,,
VAL,VAL,1111,EJT1,KBUR,KSMF,,08:54,,
VAL,VAL,757,EJT1,KBUR,KLAS,,08:59,,
VAL,VAL,1749,EJT1,KBUR,KDEN,,09:02,,
VAL,VAL,778,EJT1,KBUR,KPHX,,09:23,,
FRT,FRT,775,FRJ1,KBUR,KRNO,,09:25,,
VAL,VAL,3187,EJT1,KBUR,KBNA,,09:29,,
FRT,FRT,401,FRJ1,KBUR,KPHX,,09:41,,
VAL,VAL,240,EJT1,KBUR,KSMF,,09:53,,
TAB,TAB,1191,EJT1,KBUR,KDEN,,09:58,,
FRT,FRT,969,EJT1,KBUR,KPHX,,10:09,,
VAL,VAL,830,EJT1,KBUR,KOAK,,10:11,,
VAL,VAL,2883,EJT1,KBUR,KAUS,,10:16,,
DEN,DEN,265,EJT1,KBUR,KLAS,,10:31,,
MAX,MAX,1061,EJT1,KBUR,KFAT,,10:33,,
MAX,MAX,3680,FRJ1,KBUR,KSLC,,10:34,,
VAL,VAL,1194,EJT1,KBUR,KLAS,,10:43,,
VAL,VAL,1324,EJT1,KBUR,KPHX,,10:46,,
MAX,MAX,3401,FRJ1,KBUR,KSTS,,11:05,,
VAL,VAL,2088,EJT1,KBUR,KSJC,,11:10,,
VAL,VAL,423,EJT1,KBUR,KABQ,,11:17,,
TAB,TAB,5655,FRJ1,KBUR,KSFO,,11:24,,
FRT,FRT,104,FRJ1,KBUR,KLAS,,11:26,,
VAL,VAL,3107,EJT1,KBUR,KOAK,,11:42,,
DEN,DEN,165,EJT1,KBUR,KBOI,,11:49,,
FRT,FRT,106,FRJ1,KBUR,KLAS,,12:02,,
FRT,FRT,120,FRJ1,KBUR,KLAS,,12:08,,
VAL,VAL,1864,EJT1,KBUR,KSFO,,12:10,,
VAL,VAL,648,EJT1,KBUR,KLAS,,12:27,,
DEN,DEN,473,BIZ0,KBUR,KLAX,,12:29,,
FRT,FRT,172,FRJ1,KBUR,KOAK,,12:53,,
VAL,VAL,2895,EJT1,KBUR,KSMF,,13:11,,
VAL,VAL,1659,EJT1,KBUR,KEUG,,13:14,,
FRT,FRT,141,FRJ1,KBUR,KCCR,,13:18,,
VAL,VAL,508,EJT1,KBUR,KSJC,,13:24,,
FRT,FRT,1208,EJT1,KBUR,KABQ,,13:26,,
VAL,VAL,224,EJT1,KBUR,KDEN,,13:28,,
VAL,VAL,1646,EJT1,KBUR,KLAS,,13:30,,
FRT,FRT,3270,FRJ1,KBUR,KPHX,,13:40,,
DEN,DEN,250,EJT1,KBUR,KLAS,,13:43,,
MAX,MAX,1291,EJT1,KBUR,KSEA,,13:54,,
VAL,VAL,2093,EJT1,KBUR,KOAK,,14:13,,
VAL,VAL,791,EJT1,KBUR,KSMF,,14:16,,
TAB,TAB,4786,FRJ1,KBUR,KSFO,,14:18,,
FRT,FRT,108,FRJ1,KBUR,KLAS,,14:23,,
VAL,VAL,1579,EJT1,KBUR,KSLC,,14:28,,
MAX,MAX,3416,FRJ1,KBUR,KPDX,,14:46,,
VAL,VAL,2037,EJT1,KBUR,KLAX,,14:52,,
FRT,FRT,553,FRJ1,KBUR,KBJC,,14:56,,
FRT,FRT,174,FRJ1,KBUR,KOAK,,15:11,,
MAX,MAX,3300,FRJ1,KBUR,KBOI,,15:12,,
VAL,VAL,1409,EJT1,KBUR,KPHX,,15:23,,
DEN,DEN,500,BIZ0,KBUR,KLAS,,15:26,,
VAL,VAL,2875,EJT1,KBUR,KHOU,,15:33,,
VAL,VAL,1801,EJT1,KBUR,KSFO,,15:47,,
EMF,EMF,1930,BTRP,KBUR,KSBA,,15:55,,
TAB,TAB,5804,FRJ1,KBUR,KSFO,,16:14,,
DEN,DEN,138,EJT1,KBUR,KCOS,,16:19,,
VAL,VAL,1788,EJT1,KBUR,KRNO,,16:27,,
VAL,VAL,2155,EJT1,KBUR,KSMF,,16:32,,
FRT,FRT,176,FRJ1,KBUR,KOAK,,16:37,,
VAL,VAL,489,EJT1,KBUR,KOAK,,16:39,,
VAL,VAL,2177,EJT1,KBUR,KLAS,,16:41,,
DEN,DEN,185,EJT1,KBUR,KSLE,,17:08,,
VAL,VAL,1159,EJT1,KBUR,KDEN,,17:12,,
MAX,MAX,3693,FRJ1,KBUR,KSLC,,17:16,,
FRT,FRT,110,FRJ1,KBUR,KLAS,,17:17,,
TAB,TAB,807,BIZ0,KBUR,KSFO,,17:27,,
VAL,VAL,3781,EJT1,KBUR,KOAK,,17:30,,
MAX,MAX,1055,EJT1,KBUR,KSEA,,17:35,,
VAL,VAL,3654,EJT1,KBUR,KPHX,,17:39,,
TAB,TAB,727,BIZ0,KBUR,KLVK,,17:42,,
VAL,VAL,2856,EJT1,KBUR,KSJC,,17:44,,
VAL,VAL,3189,EJT1,KBUR,KSMF,,17:48,,
VAL,VAL,27,EJT1,KBUR,KLAS,,18:08,,
FRT,FRT,403,FRJ1,KBUR,KPHX,,18:12,,
FRT,FRT,178,FRJ1,KBUR,KOAK,,18:15,,
VAL,VAL,239,EJT1,KBUR,KLAS,,18:22,,
VAL,VAL,3671,EJT1,KBUR,KOAK,,18:33,,
VAL,VAL,1412,EJT1,KBUR,KSFO,,18:35,,
VAL,VAL,3583,EJT1,KBUR,KSMF,,18:40,,
FRT,FRT,112,FRJ1,KBUR,KLAS,,18:41,,
EMF,EMF,1213,EJT1,KBUR,KMEM,,19:09,,cargo
VAL,VAL,2193,EJT1,KBUR,KSJC,,19:11,,
FRT,FRT,5010,FRJ1,KBUR,KPHX,,19:19,,
VAL,VAL,2205,EJT1,KBUR,KLAS,,19:28,,
EMF,EMF,907,EJT1,KBUR,KSDF,,19:32,,cargo
TAB,TAB,5326,FRJ1,KBUR,KSFO,,19:46,,
VAL,VAL,265,EJT1,KBUR,KOAK,,20:18,,
VAL,VAL,3025,EJT1,KBUR,KPHX,,20:24,,
VAL,VAL,2104,EJT1,KBUR,KSFO,,20:29,,
VAL,VAL,1959,EJT1,KBUR,KSMF,,20:31,,
TAB,TAB,5806,FRJ1,KBUR,KSFO,,20:53,,
DEN,DEN,1653,EJT1,KBUR,KLAS,,21:04,,
VAL,VAL,332,EJT1,KBUR,KPHX,,21:18,,
MAX,MAX,1045,EJT1,KBUR,KSEA,,21:19,,
VAL,VAL,513,EJT1,KBUR,KSJC,,21:21,,
MAX,MAX,1063,EJT1,KBUR,KPDX,,21:23,,
EMF,EMF,7145,BTRP,KBUR,KHWD,,21:25,,
VAL,VAL,358,EJT1,KBUR,KJFK,,22:02,,
