"operator(color)","airline (callsign)","flight number","airplane type","from  (ICAO)","to (ICAO)","approach time","departure time","approach altitude override (feet)","special"
"MAX","MAX",5984,"FRJ1","KLGA","KCMH",,"03:30",,
"MAX","MAX",5905,"FRJ1","KLGA","KDCA",,"03:30",,
"MAX","MAX",3053,"FRJ1","KLGA","KGSO",,"03:30",,
"DEN","DEN",381,"EJT1","KLGA","KMYR",,"03:30",,
"MAX","MAX",3079,"FRJ1","KLGA","KSDF",,"03:30",,
"FRT","FRT",1855,"EJT1","KLGA","KSTL",,"03:30",,
"VAL","VAL",5811,"FRJ1","KLGA","KSTL",,"03:30",,
"TGB","TGB",4152,"BTRP","KLGA","KITH",,"03:35",,
"MAX","MAX",3725,"FRJ1","KLGA","KRIC",,"03:35",,
"MAX","MAX",2431,"FRJ1","KLGA","KDAY",,"03:40",,
"TAB","TAB",743,"FRJ1","KLGA","CYUL",,"03:40",,
"TAB","TAB",705,"FRJ1","KLGA","CYYZ",,"03:40",,
"TAB","TAB",282,"EJT1","KLGA","KPHF",,"03:42",,
"MAX","MAX",4558,"FRJ1","KLGA","KCLE",,"03:45",,
"VAL","VAL",505,"EJT1","KLGA","KDEN",,"03:45",,
"FRT","FRT",2239,"EJT1","KLGA","KMIA",,"03:45",,
"DEN","DEN",3653,"FRJ1","KLGA","KORF",,"03:45",,
"MAX","MAX",446,"FRJ1","KLGA","KCHS",,"03:50",,
"TAB","TAB",1747,"EJT1","KLGA","KATL",,"04:00",,
"LAW","LAW",2120,"FRJ1","KLGA","KBOS",,"04:00",,
"MAX","MAX",3727,"FRJ1","KLGA","KCLT",,"04:00",,
"LAW","LAW",2167,"EJT1","KLGA","KDCA",,"04:00",,
"TAB","TAB",6793,"EJT1","KLGA","KDTW",,"04:00",,
"FRT","FRT",313,"EJT1","KLGA","KORD",,"04:00",,
"MAX","MAX",213,"FRJ1","KLGA","KORD",,"04:00",,
"TAB","TAB",661,"EJT1","KLGA","KORD",,"04:00",,
"MAX","MAX",4619,"FRJ1","KLGA","KRDU",,"04:00",,
"MAX","MAX",3695,"FRJ1","KLGA","KRDU",,"04:00",,
"MAX","MAX",4425,"FRJ1","KLGA","CYYZ",,"04:00",,
"MAX","MAX",919,"FRJ1","KLGA","KIAD",,"04:03",,
"TGB","TGB",4555,"BTRP","KLGA","KPVD",,"04:05",,
"FRT","FRT",713,"EJT1","KLGA","KDFW",,"04:10",,
"DEN","DEN",3835,"FRJ1","KLGA","KSAV",,"04:10",,
"TGB","TGB",309,"BTRP","KLGA","KCHO",,"04:12",,
"MAX","MAX",4437,"FRJ1","KLGA","KCMH",,"04:20",,
"DEN","DEN",3787,"FRJ1","KLGA","KAVL",,"04:30",,
"TAB","TAB",1376,"EJT1","KLGA","KBOS",,"04:30",,
"MAX","MAX",5907,"FRJ1","KLGA","KDCA",,"04:30",,
"MAX","MAX",3081,"FRJ1","KLGA","KILM",,"04:30",,
"TAB","TAB",521,"EJT1","KLGA","KORD",,"04:30",,
"TGB","TGB",4285,"BTRP","KLGA","KPHL",,"04:30",,
"MAX","MAX",3836,"FRJ1","KLGA","KPWM",,"04:30",,
"MAX","MAX",4654,"FRJ1","KLGA","KATL",,"04:35",,
"VAL","VAL",375,"EJT1","KLGA","KFLL",,"04:35",,
"MAX","MAX",6018,"FRJ1","KLGA","KRIC",,"04:35",,
"DEN","DEN",475,"EJT1","KLGA","KDTW",,"04:40",,
"TAB","TAB",891,"EJT1","KLGA","KIND",,"04:40",,
"DEN","DEN",4085,"FRJ1","KLGA","KPWM",,"04:40",,
"MAX","MAX",4499,"FRJ1","KLGA","KDTW",,"04:45",,
"DEN","DEN",3916,"FRJ1","KLGA","KTYS",,"04:50",,
"MAX","MAX",5803,"FRJ1","KLGA","KCLE",,"04:55",,
"MAX","MAX",4550,"FRJ1","KLGA","CYYZ",,"04:55",,
"MAX","MAX",3770,"FRJ1","KLGA","KBUF",,"04:59",,
"FRT","FRT",721,"EJT1","KLGA","KDFW",,"04:59",,
"MAX","MAX",3055,"FRJ1","KLGA","KGSO",,"04:59",,
"FRT","FRT",319,"EJT1","KLGA","KORD",,"04:59",,
"TAB","TAB",232,"EJT1","KLGA","KATL",,"05:00",,
"LAW","LAW",2122,"FRJ1","KLGA","KBOS",,"05:00",,
"LAW","LAW",2169,"EJT1","KLGA","KDCA",,"05:00",,
"TAB","TAB",673,"EJT1","KLGA","KORD",,"05:00",,
"TGB","TGB",4489,"BTRP","KLGA","KPHL",,"05:00",,
"MAX","MAX",6490,"FRJ1","KLGA","KRDU",,"05:00",,
"TAB","TAB",2209,"EJT1","KLGA","KRSW",,"05:00",,
"VAL","VAL",19,"FRJ1","KLGA","KIAD",,"05:02",,
"MAX","MAX",4504,"FRJ1","KLGA","KBOS",,"05:10",,
"DEN","DEN",4548,"EJT1","KLGA","KCLT",,"05:10",,
"TAB","TAB",2319,"EJT1","KLGA","KMSP",,"05:10",,
"TAB","TAB",5588,"EJT1","KLGA","KDEN",,"05:15",,
"FRT","FRT",931,"EJT1","KLGA","KMIA",,"05:15",,
"MAX","MAX",4433,"FRJ1","KLGA","KRDU",,"05:20",,
"TGB","TGB",4533,"BTRP","KLGA","KBWI",,"05:29",,
"TAB","TAB",1378,"EJT1","KLGA","KBOS",,"05:29",,
"MAX","MAX",5909,"FRJ1","KLGA","KDCA",,"05:29",,
"DEN","DEN",1033,"EJT1","KLGA","KIAH",,"05:29",,
"TAB","TAB",1195,"EJT1","KLGA","KATL",,"05:30",,
"TAB","TAB",707,"FRJ1","KLGA","CYYZ",,"05:30",,
"TGB","TGB",4351,"BTRP","KLGA","KROC",,"05:32",,
"VAL","VAL",537,"EJT1","KLGA","KMDW",,"05:35",,
"TGB","TGB",4389,"BTRP","KLGA","KPHL",,"05:35",,
"MAX","MAX",6286,"FRJ1","KLGA","KCVG",,"05:40",,
"DEN","DEN",197,"EJT1","KLGA","KFLL",,"05:40",,
"TAB","TAB",2631,"EJT1","KLGA","KDTW",,"05:45",,
"TAB","TAB",2879,"EJT1","KLGA","KFLL",,"05:45",,
"MAX","MAX",5987,"FRJ1","KLGA","KIND",,"05:45",,
"FRT","FRT",725,"EJT1","KLGA","KDFW",,"05:50",,
"MAX","MAX",6459,"FRJ1","KLGA","CYHZ",,"05:55",,
"TAB","TAB",1647,"EJT1","KLGA","KATL",,"05:59",,
"TGB","TGB",4424,"BTRP","KLGA","KBTV",,"05:59",,
"MAX","MAX",3765,"FRJ1","KLGA","KRDU",,"05:59",,
"VAL","VAL",5813,"FRJ1","KLGA","KSTL",,"05:59",,
"MAX","MAX",4484,"FRJ1","KLGA","KBNA",,"06:00",,
"LAW","LAW",2124,"FRJ1","KLGA","KBOS",,"06:00",,
"LAW","LAW",2171,"EJT1","KLGA","KDCA",,"06:00",,
"FRT","FRT",321,"EJT1","KLGA","KORD",,"06:00",,
"MAX","MAX",5939,"FRJ1","KLGA","KORD",,"06:00",,
"TAB","TAB",169,"EJT1","KLGA","KORD",,"06:00",,
"MAX","MAX",361,"FRJ1","KLGA","KRIC",,"06:00",,
"TAB","TAB",745,"FRJ1","KLGA","CYUL",,"06:00",,
"TAB","TAB",9961,"EJT1","KLGA","KCAK",,"06:10",,
"TAB","TAB",1573,"EJT1","KLGA","KMEM",,"06:10",,
"FRT","FRT",1757,"EJT1","KLGA","KSTL",,"06:10",,
"MAX","MAX",4642,"FRJ1","KLGA","CYYZ",,"06:15",,
"MAX","MAX",4559,"FRJ1","KLGA","KCMH",,"06:20",,
"MAX","MAX",1581,"FRJ1","KLGA","KMCI",,"06:20",,
"TGB","TGB",4481,"BTRP","KLGA","KPHL",,"06:20",,
"TGB","TGB",4603,"BTRP","KLGA","KITH",,"06:24",,
"DEN","DEN",1051,"EJT1","KLGA","KCLT",,"06:25",,
"MAX","MAX",3586,"FRJ1","KLGA","KPWM",,"06:25",,
"MAX","MAX",3975,"FRJ1","KLGA","KPIT",,"06:29",,
"TAB","TAB",1380,"EJT1","KLGA","KBOS",,"06:30",,
"TGB","TGB",4105,"BTRP","KLGA","KCHO",,"06:30",,
"MAX","MAX",5911,"FRJ1","KLGA","KDCA",,"06:30",,
"FRT","FRT",2909,"EJT1","KLGA","KDFW",,"06:30",,
"MAX","MAX",6276,"FRJ1","KLGA","KMCI",,"06:30",,
"TAB","TAB",1785,"EJT1","KLGA","KMCO",,"06:30",,
"MAX","MAX",1983,"FRJ1","KLGA","KMKE",,"06:30",,
"TAB","TAB",709,"FRJ1","KLGA","CYYZ",,"06:30",,
"MAX","MAX",3867,"FRJ1","KLGA","KORF",,"06:35",,
"MAX","MAX",238,"FRJ1","KLGA","KBHM",,"06:40",,
"DEN","DEN",921,"EJT1","KLGA","KMYR",,"06:40",,
"TAB","TAB",2219,"EJT1","KLGA","KMSP",,"06:45",,
"MAX","MAX",3779,"FRJ1","KLGA","KSYR",,"06:45",,
"MAX","MAX",6330,"FRJ1","KLGA","KORF",,"06:50",,
"VAL","VAL",4673,"BTRP","KLGA","KACK",,"06:55",,
"VAL","VAL",207,"EJT1","KLGA","KBWI",,"06:55",,
"TAB","TAB",1947,"EJT1","KLGA","KATL",,"07:00",,
"LAW","LAW",2126,"FRJ1","KLGA","KBOS",,"07:00",,
"MAX","MAX",3821,"FRJ1","KLGA","KCMH",,"07:00",,
"LAW","LAW",2173,"EJT1","KLGA","KDCA",,"07:00",,
"VAL","VAL",4662,"BTRP","KLGA","KMHT",,"07:00",,
"FRT","FRT",1990,"EJT1","KLGA","KMIA",,"07:00",,
"TAB","TAB",735,"EJT1","KLGA","KMKE",,"07:00",,
"VAL","VAL",4654,"BTRP","KLGA","KMVY",,"07:00",,
"TAB","TAB",679,"EJT1","KLGA","KORD",,"07:00",,
"TAB","TAB",2551,"EJT1","KLGA","KPBI",,"07:00",,
"TGB","TGB",4110,"BTRP","KLGA","KPHL",,"07:00",,
"MAX","MAX",4595,"FRJ1","KLGA","KRDU",,"07:00",,
"MAX","MAX",6338,"FRJ1","KLGA","KRDU",,"07:05",,
"MAX","MAX",6765,"FRJ1","KLGA","KMSN",,"07:15",,
"TGB","TGB",4593,"BTRP","KLGA","KPHL",,"07:15",,
"MAX","MAX",4479,"FRJ1","KLGA","CYYZ",,"07:15",,
"TAB","TAB",390,"EJT1","KLGA","KDTW",,"07:25",,
"FRT","FRT",329,"EJT1","KLGA","KORD",,"07:25",,
"MAX","MAX",187,"FRJ1","KLGA","KIND",,"07:27",,
"MAX","MAX",4658,"FRJ1","KLGA","KATL",,"07:30",,
"TAB","TAB",1382,"EJT1","KLGA","KBOS",,"07:30",,
"MAX","MAX",5913,"FRJ1","KLGA","KDCA",,"07:30",,
"MAX","MAX",4412,"FRJ1","KLGA","KDTW",,"07:30",,
"MAX","MAX",3941,"FRJ1","KLGA","KGSO",,"07:30",,
"TAB","TAB",559,"EJT1","KLGA","KORD",,"07:30",,
"FRT","FRT",3249,"EJT1","KLGA","KDFW",,"07:35",,
"TAB","TAB",747,"FRJ1","KLGA","CYUL",,"07:35",,
"DEN","DEN",4295,"FRJ1","KLGA","KLWB",,"07:55",,
"FRT","FRT",327,"EJT1","KLGA","KORD",,"07:55",,
"MAX","MAX",3611,"FRJ1","KLGA","KBUF",,"07:59",,
"DEN","DEN",1437,"EJT1","KLGA","KCLT",,"07:59",,
"TAB","TAB",2535,"EJT1","KLGA","KMSY",,"07:59",,
"TGB","TGB",4197,"BTRP","KLGA","KPHL",,"07:59",,
"MAX","MAX",3075,"FRJ1","KLGA","KRIC",,"07:59",,
"TAB","TAB",2147,"EJT1","KLGA","KATL",,"08:00",,
"LAW","LAW",2128,"FRJ1","KLGA","KBOS",,"08:00",,
"MAX","MAX",5807,"FRJ1","KLGA","KCLE",,"08:00",,
"LAW","LAW",2175,"EJT1","KLGA","KDCA",,"08:00",,
"MAX","MAX",5941,"FRJ1","KLGA","KORD",,"08:00",,
"TAB","TAB",681,"EJT1","KLGA","KORD",,"08:00",,
"MAX","MAX",3843,"FRJ1","KLGA","KPHL",,"08:02",,
"MAX","MAX",4548,"FRJ1","KLGA","KCMH",,"08:05",,
"TGB","TGB",4361,"BTRP","KLGA","KORF",,"08:10",,
"TGB","TGB",4317,"BTRP","KLGA","KPHL",,"08:14",,
"TAB","TAB",334,"EJT1","KLGA","KATL",,"08:19",,
"DEN","DEN",8298,"EJT1","KLGA","KFLL",,"08:20",,
"VAL","VAL",377,"EJT1","KLGA","KFLL",,"08:20",,
"MAX","MAX",3811,"FRJ1","KLGA","KROC",,"08:20",,
"MAX","MAX",4520,"FRJ1","KLGA","CYUL",,"08:20",,
"MAX","MAX",4511,"FRJ1","KLGA","KBOS",,"08:25",,
"VAL","VAL",2525,"EJT1","KLGA","KMDW",,"08:25",,
"TGB","TGB",4187,"BTRP","KLGA","KPHL",,"08:28",,
"VAL","VAL",2437,"EJT1","KLGA","KDEN",,"08:29",,
"DEN","DEN",433,"EJT1","KLGA","KIAH",,"08:29",,
"MAX","MAX",3884,"FRJ1","KLGA","KSYR",,"08:29",,
"TAB","TAB",1384,"EJT1","KLGA","KBOS",,"08:30",,
"MAX","MAX",5915,"FRJ1","KLGA","KDCA",,"08:30",,
"TAB","TAB",713,"FRJ1","KLGA","CYYZ",,"08:30",,
"TGB","TGB",4122,"BTRP","KLGA","KBTV",,"08:34",,
"FRT","FRT",745,"EJT1","KLGA","KDFW",,"08:35",,
"FRT","FRT",333,"EJT1","KLGA","KORD",,"08:35",,
"MAX","MAX",4593,"FRJ1","KLGA","KRDU",,"08:40",,
"TAB","TAB",508,"EJT1","KLGA","KMKE",,"08:43",,
"MAX","MAX",573,"FRJ1","KLGA","KBGR",,"08:45",,
"TGB","TGB",4149,"BTRP","KLGA","KBWI",,"08:50",,
"MAX","MAX",4498,"FRJ1","KLGA","CYYZ",,"08:50",,
"MAX","MAX",3068,"FRJ1","KLGA","KBGR",,"08:59",,
"VAL","VAL",5665,"FRJ1","KLGA","KCMH",,"08:59",,
"MAX","MAX",843,"FRJ1","KLGA","KDAY",,"08:59",,
"TGB","TGB",4487,"BTRP","KLGA","KPHL",,"08:59",,
"MAX","MAX",4669,"FRJ1","KLGA","KATL",,"09:00",,
"TAB","TAB",2247,"EJT1","KLGA","KATL",,"09:00",,
"LAW","LAW",2130,"FRJ1","KLGA","KBOS",,"09:00",,
"MAX","MAX",706,"FRJ1","KLGA","KCHS",,"09:00",,
"LAW","LAW",2177,"EJT1","KLGA","KDCA",,"09:00",,
"MAX","MAX",5943,"FRJ1","KLGA","KORD",,"09:00",,
"TAB","TAB",683,"EJT1","KLGA","KORD",,"09:00",,
"MAX","MAX",3107,"FRJ1","KLGA","KPIT",,"09:00",,
"TGB","TGB",4175,"BTRP","KLGA","KROA",,"09:05",,
"FRT","FRT",1621,"EJT1","KLGA","KMIA",,"09:10",,
"DEN","DEN",3866,"FRJ1","KLGA","KORF",,"09:15",,
"FRT","FRT",753,"EJT1","KLGA","KDFW",,"09:25",,
"MAX","MAX",4485,"FRJ1","KLGA","KDTW",,"09:25",,
"MAX","MAX",3938,"FRJ1","KLGA","KPWM",,"09:25",,
"TAB","TAB",2419,"EJT1","KLGA","KMSP",,"09:28",,
"TAB","TAB",215,"EJT1","KLGA","KCAK",,"09:29",,
"MAX","MAX",5809,"FRJ1","KLGA","KCLE",,"09:29",,
"LAW","LAW",505,"FRJ1","KLGA","KIAD",,"09:29",,
"TAB","TAB",1386,"EJT1","KLGA","KBOS",,"09:30",,
"MAX","MAX",4585,"FRJ1","KLGA","KCLT",,"09:30",,
"MAX","MAX",5917,"FRJ1","KLGA","KDCA",,"09:30",,
"TAB","TAB",754,"EJT1","KLGA","KDTW",,"09:30",,
"DEN","DEN",133,"EJT1","KLGA","KIAH",,"09:30",,
"TAB","TAB",715,"FRJ1","KLGA","CYYZ",,"09:30",,
"DEN","DEN",403,"EJT1","KLGA","KMYR",,"09:40",,
"MAX","MAX",4689,"FRJ1","KLGA","KCLE",,"09:45",,
"DEN","DEN",1543,"EJT1","KLGA","KCLT",,"09:45",,
"MAX","MAX",3045,"FRJ1","KLGA","KGSO",,"09:45",,
"TAB","TAB",2453,"EJT1","KLGA","KTPA",,"09:45",,
"TGB","TGB",4479,"BTRP","KLGA","KPVD",,"09:49",,
"FRT","FRT",335,"EJT1","KLGA","KORD",,"09:50",,
"MAX","MAX",4525,"FRJ1","KLGA","KXNA",,"09:50",,
"MAX","MAX",5962,"FRJ1","KLGA","KMCI",,"09:55",,
"VAL","VAL",393,"EJT1","KLGA","KMCO",,"09:55",,
"MAX","MAX",3907,"FRJ1","KLGA","KSDF",,"09:55",,
"TAB","TAB",7889,"EJT1","KLGA","KDEN",,"09:59",,
"TGB","TGB",4135,"BTRP","KLGA","KPHL",,"09:59",,
"MAX","MAX",3949,"FRJ1","KLGA","KRIC",,"09:59",,
"TAB","TAB",413,"EJT1","KLGA","KATL",,"10:00",,
"LAW","LAW",2132,"FRJ1","KLGA","KBOS",,"10:00",,
"LAW","LAW",2179,"EJT1","KLGA","KDCA",,"10:00",,
"TAB","TAB",2279,"EJT1","KLGA","KFLL",,"10:00",,
"MAX","MAX",6745,"FRJ1","KLGA","KIND",,"10:00",,
"MAX","MAX",5945,"FRJ1","KLGA","KORD",,"10:00",,
"TAB","TAB",685,"EJT1","KLGA","KORD",,"10:00",,
"MAX","MAX",4564,"FRJ1","KLGA","CYYZ",,"10:00",,
"VAL","VAL",5713,"FRJ1","KLGA","KBNA",,"10:05",,
"MAX","MAX",4571,"FRJ1","KLGA","KCMH",,"10:05",,
"TAB","TAB",487,"EJT1","KLGA","KPBI",,"10:05",,
"FRT","FRT",759,"EJT1","KLGA","KDFW",,"10:10",,
"DEN","DEN",4091,"FRJ1","KLGA","KPWM",,"10:10",,
"TGB","TGB",4151,"BTRP","KLGA","KBWI",,"10:20",,
"TGB","TGB",4530,"BTRP","KLGA","KBTV",,"10:20",,
"MAX","MAX",3037,"FRJ1","KLGA","KRDU",,"10:20",,
"MAX","MAX",4003,"FRJ1","KLGA","KCMH",,"10:29",,
"TGB","TGB",4522,"BTRP","KLGA","KROC",,"10:29",,
"TAB","TAB",1388,"EJT1","KLGA","KBOS",,"10:30",,
"MAX","MAX",5919,"FRJ1","KLGA","KDCA",,"10:30",,
"MAX","MAX",5983,"FRJ1","KLGA","KRIC",,"10:30",,
"MAX","MAX",6088,"FRJ1","KLGA","KSAV",,"10:30",,
"FRT","FRT",1877,"EJT1","KLGA","KBNA",,"10:35",,
"DEN","DEN",3746,"FRJ1","KLGA","KLEX",,"10:35",,
"MAX","MAX",3165,"FRJ1","KLGA","KPIT",,"10:35",,
"TAB","TAB",749,"FRJ1","KLGA","CYUL",,"10:35",,
"VAL","VAL",4675,"BTRP","KLGA","KACK",,"10:40",,
"VAL","VAL",4656,"BTRP","KLGA","KMVY",,"10:40",,
"MAX","MAX",4607,"FRJ1","KLGA","KRDU",,"10:40",,
"DEN","DEN",1562,"EJT1","KLGA","KFLL",,"10:45",,
"MAX","MAX",3579,"FRJ1","KLGA","KGSO",,"10:45",,
"MAX","MAX",6499,"FRJ1","KLGA","KRDU",,"10:45",,
"TAB","TAB",1585,"EJT1","KLGA","KMCO",,"10:50",,
"VAL","VAL",4664,"BTRP","KLGA","KMHT",,"10:50",,
"TAB","TAB",7733,"FRJ1","KLGA","CYOW",,"10:55",,
"TAB","TAB",897,"EJT1","KLGA","KIND",,"10:56",,
"MAX","MAX",6305,"FRJ1","KLGA","KCMH",,"10:59",,
"MAX","MAX",3635,"FRJ1","KLGA","KORF",,"10:59",,
"TAB","TAB",720,"EJT1","KLGA","KATL",,"11:00",,
"LAW","LAW",2134,"FRJ1","KLGA","KBOS",,"11:00",,
"LAW","LAW",2181,"EJT1","KLGA","KDCA",,"11:00",,
"MAX","MAX",353,"FRJ1","KLGA","KORD",,"11:00",,
"TAB","TAB",687,"EJT1","KLGA","KORD",,"11:00",,
"MAX","MAX",4566,"FRJ1","KLGA","CYYZ",,"11:00",,
"MAX","MAX",3585,"FRJ1","KLGA","KCHS",,"11:05",,
"DEN","DEN",1057,"EJT1","KLGA","KCLE",,"11:10",,
"FRT","FRT",341,"EJT1","KLGA","KORD",,"11:10",,
"MAX","MAX",4695,"FRJ1","KLGA","KBOS",,"11:15",,
"MAX","MAX",6019,"FRJ1","KLGA","KCHS",,"11:15",,
