operator(color),airline (callsign),flight number,airplane type,from  (ICAO),to (ICAO),approach time,departure time,approach altitude override (feet),special
BTV,BTV,66D,EJT1,LPFR,EDDS,12:40,,,
TGB,TGB,2146,FRJ1,EDDM,EDDS,12:37,,,
VAL,VAL,7750,EJT1,LTFJ,EDDS,12:35,,,
RAA,RAA,2491,EJT1,LROP,EDDS,12:21,,,
RAA,RAA,2713,EJT1,LPPR,EDDS,12:17,,,
RAA,RAA,2537,EJT1,LEMG,EDDS,12:13,,,
LAW,LAW,918,EJT1,EGLL,EDDS,11:55,,,
RAA,RAA,2463,EJT1,EGLL,EDDS,11:54,,,
BTV,BTV,4715,EJT1,LGIR,EDDS,11:50,,,
VAL,VAL,1321,EJT1,LTAI,EDDS,11:44,,,
RAA,RAA,2819,EJT1,LICC,EDDS,11:17,,,
RAA,RAA,2529,EJT1,LEBL,EDDS,11:16,,,
BTV,BTV,2715,EJT1,LEPA,EDDS,10:42,,,
FRT,FRT,3009,EJT1,LTAI,EDDS,10:41,,,
MAX,MAX,1701,EJT1,LTFM,EDDS,10:24,,,
CBA,CBA,1869,FRJ1,EHAM,EDDS,10:21,,,
TGB,TGB,1164,FRJ1,LSZH,EDDS,10:09,,,
RAA,RAA,5005,EJT1,LTAI,EDDS,10:06,,,
ANG,ANG,371,EJT1,EPWA,EDDS,10:05,,,
DEN,DEN,128,EJT1,EDDF,EDDS,09:59,,,
RAA,RAA,2781,EJT1,LHBP,EDDS,09:51,,,
RAA,RAA,2759,EJT1,LOWW,EDDS,09:40,,,
RAA,RAA,2977,EJT1,LDZA,EDDS,09:26,,,
LAW,LAW,657,FRJ1,EKCH,EDDS,09:21,,,
RAA,RAA,2045,EJT1,EDDH,EDDS,09:19,,,
RAA,RAA,2003,EJT1,EDDB,EDDS,09:10,,,
TGB,TGB,1349,EJT1,EDDM,EDDS,09:08,,,
DEN,DEN,2144,EJT1,EDDM,EDDS,09:07,,,
CBA,CBA,1867,FRJ1,EHAM,EDDS,09:00,,,
FRT,FRT,829,EJT1,LTAI,EDDS,08:47,,,
RAA,RAA,1868,EJT1,LEBL,EDDS,08:40,,,
DEN,DEN,116,AJT0,KATL,EDDS,08:35,,,
TGB,TGB,444,EJT1,LIML,EDDS,08:05,,,
UAX,UAX,177,EJT1,LOWW,EDDS,08:00,,,
DEN,DEN,122B,BIZ0,EDDL,EDDS,07:39,,,
DEN,DEN,H126,EJT1,EDDF,EDDS,07:31,,,
EMF,EMF,7482,AJT0,KORD,EDDS,07:27,,,cargo
EMF,EMF,4MS,EJT1,EDDM,EDDS,07:23,,,cargo
MAX,MAX,702,EJT1,LTAF,EDDS,06:45,,,
EMF,EMF,4212,AJT0,EDDP,EDDS,06:21,,,cargo
EMF,EMF,4080,EJT1,LFPG,EDDS,06:11,,,cargo
EMF,EMF,4621,EJT1,EDDK,EDDS,06:05,,,cargo
EMF,EMF,4196,EJT1,EDDP,EDDS,06:03,,,cargo
RAA,RAA,3001,EJT1,EDDB,EDDS,01:20,,,
BTV,BTV,949,EJT1,EDDV,EDDS,01:10,,,
RAA,RAA,3002,EJT1,EDDS,EDDB,,00:16,,
BTV,BTV,950,EJT1,EDDS,EDDV,,00:27,,
RAA,RAA,2536,EJT1,EDDS,LEMG,,06:00,,
TGB,TGB,2153,FRJ1,EDDS,EDDM,,06:06,,
RAA,RAA,2818,EJT1,EDDS,LICC,,06:08,,
RAA,RAA,2976,EJT1,EDDS,LDZA,,06:09,,
TGB,TGB,2002,FRJ1,EDDS,EDDM,,06:10,,
BTV,BTV,2714,EJT1,EDDS,LEPA,,06:11,,
DEN,DEN,127,EJT1,EDDS,EDDF,,06:14,,
BTV,BTV,2818,EJT1,EDDS,LPFR,,06:16,,
RAA,RAA,2712,EJT1,EDDS,LPPR,,06:23,,
CBA,CBA,1866,EJT1,EDDS,EHAM,,06:25,,
RAA,RAA,2584,EJT1,EDDS,LEPA,,06:26,,
RAA,RAA,2002,EJT1,EDDS,EDDB,,06:28,,
RAA,RAA,2780,EJT1,EDDS,LHBP,,06:29,,
RAA,RAA,2044,EJT1,EDDS,EDDH,,06:30,,
RAA,RAA,2580,EJT1,EDDS,LEPA,,06:33,,
RAA,RAA,2528,EJT1,EDDS,LEBL,,06:36,,
RAA,RAA,2604,EJT1,EDDS,LPPT,,06:39,,
RAA,RAA,1609,EJT1,EDDS,LFPG,,06:48,,
RAA,RAA,2758,EJT1,EDDS,LOWW,,06:49,,
RAA,RAA,2648,EJT1,EDDS,LPFR,,06:50,,
LAW,LAW,923,EJT1,EDDS,EGLL,,06:55,,
RAA,RAA,2246,EJT1,EDDS,GCFV,,06:59,,
RAA,RAA,2582,EJT1,EDDS,LEPA,,07:08,,
RAA,RAA,2490,EJT1,EDDS,LROP,,07:17,,
BTV,BTV,6254,EJT1,EDDS,GVBA,,07:23,,
MAX,MAX,1710,EJT1,EDDS,LTFM,,07:25,,
RAA,RAA,2262,EJT1,EDDS,GCLP,,07:37,,
RAA,RAA,2462,EJT1,EDDS,EGLL,,07:50,,
MAX,MAX,151,EJT1,EDDS,LTAI,,08:09,,
DEN,DEN,131,EJT1,EDDS,EDDF,,08:16,,
UAX,UAX,178,EJT1,EDDS,LOWW,,09:01,,
TGB,TGB,445,EJT1,EDDS,LIML,,09:14,,
DEN,DEN,037Y,BIZ0,EDDS,LJLJ,,09:20,,
CBA,CBA,1868,FRJ1,EDDS,EHAM,,09:46,,
RAA,RAA,1869,EJT1,EDDS,LEBL,,09:53,,
DEN,DEN,2145,EJT1,EDDS,EDDM,,10:01,,
FRT,FRT,830,EJT1,EDDS,LTAI,,10:04,,
RAA,RAA,2596,EJT1,EDDS,LEPA,,10:16,,
VAL,VAL,216,EJT1,EDDS,HEGN,,10:17,,
RAA,RAA,2530,EJT1,EDDS,LEVC,,10:19,,
RAA,RAA,2964,EJT1,EDDS,LDSP,,10:22,,
LAW,LAW,658,FRJ1,EDDS,EKCH,,10:25,,
EMF,EMF,7481,AJT0,EDDS,EGBB,,10:29,,cargo
RAA,RAA,2860,EJT1,EDDS,LIRN,,10:42,,
DEN,DEN,117,AJT0,EDDS,KATL,,10:44,,
DEN,DEN,133,EJT1,EDDS,EDDF,,10:51,,
RAA,RAA,2588,EJT1,EDDS,LEPA,,11:02,,
TGB,TGB,1165,FRJ1,EDDS,LSZH,,11:06,,
ANG,ANG,372,EJT1,EDDS,EPWA,,11:08,,
CBA,CBA,1870,FRJ1,EDDS,EHAM,,11:10,,
RAA,RAA,5006,EJT1,EDDS,LTAI,,11:24,,
MAX,MAX,1702,EJT1,EDDS,LTFM,,11:38,,
BTV,BTV,2218,EJT1,EDDS,GCTS,,12:06,,
RAA,RAA,2534,EJT1,EDDS,GCTS,,12:11,,
RAA,RAA,5712,EJT1,EDDS,BKPR,,12:14,,
FRT,FRT,3010,EJT1,EDDS,LTAI,,12:23,,
RAA,RAA,2688,EJT1,EDDS,LGKV,,12:40,,
VAL,VAL,1322,EJT1,EDDS,LTAI,,12:51,,
RAA,RAA,2460,EJT1,EDDS,EGLL,,13:15,,
TGB,TGB,2147,FRJ1,EDDS,EDDM,,13:22,,
RAA,RAA,2682,EJT1,EDDS,LGTS,,13:27,,
RAA,RAA,2592,EJT1,EDDS,LEPA,,13:48,,
VAL,VAL,7751,EJT1,EDDS,LTFJ,,13:56,,
LAW,LAW,919,EJT1,EDDS,EGLL,,13:57,,
RAA,RAA,2594,EJT1,EDDS,LEIB,,14:04,,
BTV,BTV,2174,EJT1,EDDS,GCFV,,14:05,,
RAA,RAA,2036,EJT1,EDDS,EDDH,,14:10,,
BTV,BTV,4714,EJT1,EDDS,LGIR,,14:16,,
RAA,RAA,970,EJT1,EDDS,LTFJ,,14:31,,
RAA,RAA,2018,EJT1,EDDS,EDDB,,14:35,,
FRT,FRT,262,EJT1,EDDS,EVRA,,14:45,,
RAA,RAA,2180,EJT1,EDDS,EHAM,,14:58,,
RAA,RAA,1622,EJT1,EDDS,LTAU,,15:06,,
RAA,RAA,2694,EJT1,EDDS,LGRP,,15:07,,
FRT,FRT,1169,EJT1,EDDS,LSZH,,15:13,,
DEN,DEN,135,EJT1,EDDS,EDDF,,15:14,,
CBA,CBA,1874,EJT1,EDDS,EHAM,,15:18,,
MAX,MAX,973,EJT1,EDDS,LTBJ,,15:25,,
MAX,MAX,1704,EJT1,EDDS,LTFM,,15:46,,
RAA,RAA,2004,EJT1,EDDS,EDDB,,16:00,,
RAA,RAA,2430,EJT1,EDDS,LIPZ,,16:02,,
PAV,PAV,2951,EJT1,EDDS,HEGN,,16:09,,
RAA,RAA,7043,EJT1,EDDS,EDDH,,16:30,,
RAA,RAA,8005,EJT1,EDDS,EDDB,,16:45,,
MAX,MAX,153,EJT1,EDDS,LTAI,,16:46,,
RAA,RAA,1409,EJT1,EDDS,LFPG,,16:47,,
DEN,DEN,53,BIZ0,EDDS,LSZH,,17:01,,
VAL,VAL,1722,EJT1,EDDS,LTFJ,,17:05,,
RAA,RAA,2672,EJT1,EDDS,LGIR,,17:09,,
LAW,LAW,2149,FRJ1,EDDS,EDDM,,18:09,,
RAA,RAA,2464,EJT1,EDDS,EGLL,,18:11,,
RAA,RAA,2520,EJT1,EDDS,LEBL,,18:13,,
RAA,RAA,6575,EJT1,EDDS,LTFJ,,18:14,,
VAL,VAL,6061,EJT1,EDDS,BKPR,,18:28,,
CBA,CBA,1876,EJT1,EDDS,EHAM,,18:30,,
RAA,RAA,2020,EJT1,EDDS,EDDB,,18:35,,
LAW,LAW,3704,EJT1,EDDS,LTAI,,18:36,,
RAA,RAA,2884,EJT1,EDDS,LIRF,,18:38,,
RAA,RAA,2042,EJT1,EDDS,EDDH,,18:42,,
TGB,TGB,137,EJT1,EDDS,EDDF,,18:46,,
CBA,CBA,809,EJT1,EDDS,LGAV,,18:52,,
TGB,TGB,449,EJT1,EDDS,LIML,,18:57,,
RAA,RAA,2882,EJT1,EDDS,LIRF,,19:13,,
MAX,MAX,1706,EJT1,EDDS,LTFM,,19:15,,
RAA,RAA,2742,EJT1,EDDS,LOWG,,19:17,,
RAA,RAA,2756,EJT1,EDDS,LOWW,,19:19,,
RAA,RAA,2822,EJT1,EDDS,LIMC,,19:26,,
PAV,PAV,2953,EJT1,EDDS,HEMA,,19:28,,
TGB,TGB,1175,EJT1,EDDS,LSZH,,19:36,,
RAA,RAA,4607,EJT1,EDDS,ESSA,,19:45,,
RAA,RAA,2034,EJT1,EDDS,EDDW,,19:47,,
UAX,UAX,188,EJT1,EDDS,LOWW,,19:52,,
RAA,RAA,2784,EJT1,EDDS,LHBP,,19:55,,
ANG,ANG,374,EJT1,EDDS,EPWA,,20:03,,
MAX,MAX,791,EJT1,EDDS,LTAC,,20:14,,
CBA,CBA,25,EJT1,EDDS,LGTS,,20:26,,
RAA,RAA,5046,EJT1,EDDS,LTAI,,20:27,,
RAA,RAA,1867,EJT1,EDDS,LEBL,,20:29,,
RAA,RAA,8007,EJT1,EDDS,EDDB,,20:31,,
RAA,RAA,7049,EJT1,EDDS,EDDH,,20:31,,
EMF,EMF,211,AJT0,EDDS,EDDP,,21:14,,cargo
TAB,TAB,345,EJT1,EDDS,LYBE,,21:54,,
LAW,LAW,921,EJT1,EDDS,EGLL,,21:59,,
EMF,EMF,4620,EJT1,EDDS,EDDK,,22:09,,cargo
EMF,EMF,4211,EJT1,EDDS,EDDP,,22:21,,cargo
MAX,MAX,705,EJT1,EDDS,LTAJ,,22:24,,
EMF,EMF,4180,EJT1,EDDS,LFPG,,22:58,,cargo
EMF,EMF,5MS,EJT1,EDDS,EBLG,,23:31,,cargo
