callsign,callsign say,airplane type,from (ICAO),to (ICAO),arrive time,departure time,approach altitude override (feet),school (stop and go),School ( touch and go),School (low approach),color,special
BTX41,BEETLE FOUR ONE,DPRP,EDVE,EDDS,18:45,,,0,0,0,Default,
BTX615,BEETLE SIX ONE FIVE,BIZ0,ETSI,EDDS,19:17,,,0,0,0,Default,
BTX824,BEETLE EIGHT TWO FOUR,DPRP,EDVE,EDDS,19:37,,,0,0,0,Default,
AHO61,AIR HAMBURG SIX ONE,BIZ0,LPFR,EDDS,19:41,,,0,0,0,Default,
GRB644,GRAY BIRD SIX FOUR FOUR,BIZ0,LERT,EDDS,20:25,,,0,0,0,Default,
FHG38,FLYING HOPE THREE EIGHT,DPRP,ETNL,EDDS,20:45,,,0,0,0,Default,
D-L3YY,DELTA LIMA THREE YANKEE YANKEE,BIZ0,EDDK,EDDS,20:55,,,0,0,0,Default,
VM67RU,VICTOR MIKE SIX SEVEN ROMEO UNIFORM,DPRP,EINN,EDDS,21:00,,,0,0,0,Default,
BTX56,BEETLE FIVE SIX,BIZ0,ETSI,EDDS,21:05,,,0,0,0,Default,
TIH93,TIRIAC AIR NINER THREE,BIZ0,LFSB,EDDS,21:41,,,0,0,0,Default,
BTX520,BEETLE FIVE TWO ZERO,DPRP,EDVE,EDDS,22:04,,,0,0,0,Default,
D-YPAO,DELTA YANKEE PAPA ALPHA OSCAR,DPRP,EDDS,EDDS,22:06,,,0,0,0,Default,
TIE245,TIME AIR TWO FOUR FIVE,BIZ0,EDDK,EDDS,22:17,,,0,0,0,Default,
D-U1OW,DELTA UNIFORM ONE OSCAR WHISKEY,DPRP,EDDS,EDKB,,04:01,,0,0,0,Default,
DWW568,DELTA WHISKEY WHISKY FIVE SIX EIGHT,BIZ0,EDDS,LGAV,,04:07,,0,0,0,Default,
GRB316,GRAY BIRD THREE ONE SIX,BIZ0,EDDS,LERT,,04:44,,0,0,0,Default,
TIE50,TIME AIR FIVE ZERO,BIZ0,EDDS,EHRD,,05:33,,0,0,0,Default,
TIE860,TIME AIR EIGHT SIX ZERO,BIZ0,EDDS,EHRD,,05:45,,0,0,0,Default,
FRF676,FAIR FLEET SIX SEVEN SIX,BTRP,EDDS,ESGJ,,05:54,,0,0,0,Default,
AHO139,AIR HAMBURG ONE THREE NINER,BIZ0,EDDS,LPFR,,06:14,,0,0,0,Default,
D-SQ35,DELTA SIERRA QUEBEC THREE FIVE,BIZ0,EDDS,EDDK,,06:36,,0,0,0,Default,
BTX39,BEETLE THREE NINER,DPRP,EDDS,EDVE,,06:54,,0,0,0,Default,
FHG998,FLYING HOPE NINER NINER EIGHT,DPRP,EDDS,ETNL,,07:21,,0,0,0,Default,
JBC79,JET BEE SEVEN NINER,DPRP,EDDS,EGKB,,07:29,,0,0,0,Default,
D-CDIW,DELTA CHARLIE DELTA INDIA WHISKEY,DPRP,EDDS,EDDS,,07:41,,0,0,0,Default,
D-CRNF,DELTA CHARLIE ROMEO NOVEMBER FOXTROT,BIZ0,EDDS,EDDK,,08:16,,0,0,0,Default,
VM18MF,VICTOR MIKE ONE EIGHT MIKE FOXTROT,DPRP,EDDS,EINN,,08:25,,0,0,0,Default,
EFD29,EVER FLIGHT TWO NINER,BIZ0,EDDS,EDSB,,08:36,,0,0,0,Default,
D-NVJY,DELTA NOVEMBER VICTOR JULIETT YANKEE,DPRP,EDDS,EDDS,,09:11,,0,0,0,Default,
VM41TE,VICTOR MIKE FOUR ONE TANGO ECHO,DPRP,EDDS,EINN,,09:25,,0,0,0,Default,
GAC832,DREAM TEAM EIGHT THREE TWO,BIZ0,EDDS,LOWL,,09:52,,0,0,0,Default,
EFD41,EVER FLIGHT THERE TANGO FOUR ONE,BIZ0,EDDS,EDQG,,10:23,,0,0,0,Default,
TIH78,TIRIAC AIR SEVEN EIGHT,BIZ0,EDDS,LFSB,,10:31,,0,0,0,Default,
BTX801,BEETLE EIGHT ZERO ONE,DPRP,EDDS,EDVE,,10:34,,0,0,0,Default,
D-6KI7,DELTA SIX KILO INDIA SEVEN,BIZ0,EDDS,EDDK,,11:07,,0,0,0,Default,
BTX82,BEETLE EIGHT TWO,DPRP,EDDS,EDVE,,11:39,,0,0,0,Default,
VM498KU,VICTOR MIKE FOUR NINER EIGHT KILO UNIFORM,DPRP,EDDS,EKCH,,11:49,,0,0,0,Default,
FHG90,FLYING HOPE NINER ZERO,DPRP,EDDS,EDFY,,12:21,,0,0,0,Default,
D-DGXX,DELTA DELTA GOLF X-RAY X-RAY,DPRP,EDDS,EDDS,,12:47,,0,0,0,Default,
EFD487,EVER FLIGHT FOUR EIGHT SEVEN,BIZ0,EDDS,LOWW,,12:50,,0,0,0,Default,
D-ZHWD,DELTA ZULU HOTEL WHISKEY DELTA,DPRP,EDDS,EDDS,,13:37,,0,0,0,Default,
ECA673,DARK KNIGHT SIX SEVEN THREE,BIZ0,EDDS,EGBB,,13:47,,0,0,0,Default,
AHO78,AIR HAMBURG SEVEN EIGHT,BIZ0,EDDS,LPFR,,13:49,,0,0,0,Default,
DCS274,TWIN STAR TWO SEVEN FOUR,DPRP,EDDS,OOMS,,14:08,,0,0,0,Default,
D-C1K7,DELTA CHARLIE ONE KILO SEVEN,DPRP,EDDS,EDQM,,14:32,,0,0,0,Default,
GRB646,GRAY BIRD SIX FOUR SIX,BIZ0,EDDS,LERT,,14:38,,0,0,0,Default,
D-EY42,DELTA ECHO YANKEE FOUR TWO,BIZ0,EDDS,EDVK,,15:41,,0,0,0,Default,
D-1FE4,DELTA ONE FOXTROT ECHO FOUR,DPRP,EDDS,EDDS,,15:43,,0,0,0,Default,
FHG19,FLYING HOPE ONE NINER,DPRP,EDDS,EDFY,,15:51,,0,0,0,Default,
GAC158,DREAM TEAM ONE FIVE EIGHT,BIZ0,EDDS,LOWW,,16:14,,0,0,0,Default,
TIE46,TIME AIR FOUR SIX,BIZ0,EDDS,EDDK,,16:30,,0,0,0,Default,
DCS794,TWIN STAR SEVEN NINER FOUR,BIZ0,EDDS,LFMN,,16:35,,0,0,0,Default,
VM472QL,VICTOR MIKE FOUR SEVEN TWO QUEBEC LIMA,DPRP,EDDS,EINN,,17:32,,0,0,0,Default,
FHG20,FLYING HOPE TWO ZERO,DPRP,EDDS,ETNL,,17:53,,0,0,0,Default,
D-L7JM,DELTA LIMA SEVEN JULIETT MIKE,DPRP,EDDS,EDDS,,17:56,,0,0,0,Default,
TIH532,TIRIAC AIR FIVE THREE TWO,BIZ0,EDDS,LFSB,,18:11,,0,0,0,Default,
ECA225,DARK KNIGHT TWO TWO FIVE,BTRP,EDDS,EGBB,,18:12,,0,0,0,Default,
DWW56,DELTA WHISKEY WHISKY FIVE SIX,BIZ0,EDDS,LGAV,,18:30,,0,0,0,Default,
D-TLSX,DELTA TANGO LIMA SIERRA X-RAY,BIZ0,EDDS,EDDK,,19:34,,0,0,0,Default,
VM89BQ,VICTOR MIKE EIGHT NINER BRAVO QUEBEC,DPRP,EDDS,EKCH,,19:47,,0,0,0,Default,
ECA96,DARK KNIGHT NINER SIX,BTRP,EDDS,EGBB,,19:51,,0,0,0,Default,
ECA473,DARK KNIGHT FOUR SEVEN THREE,BTRP,EDDS,EGBB,,20:05,,0,0,0,Default,
TIE645,TIME AIR SIX FOUR FIVE,BIZ0,EDDS,EDDK,,20:41,,0,0,0,Default,
TIE763,TIME AIR SEVEN SIX THREE,BIZ0,EDDS,EHRD,,20:59,,0,0,0,Default,
VM796AK,VICTOR MIKE SEVEN NINER SIX ALPHA KILO,DPRP,EDDS,EINN,,21:01,,0,0,0,Default,
VM767VF,VICTOR MIKE SEVEN SIX SEVEN VICTOR FOXTROT,DPRP,EDDS,EINN,,21:08,,0,0,0,Default,
FRF435,FAIR FLEET FOUR THREE FIVE,BIZ0,EDDS,EGBB,,21:32,,0,0,0,Default,
EFD31,EVER FLIGHT THREE ONE,BIZ0,EDDS,EDSB,,22:13,,0,0,0,Default,
VM49IQ,VICTOR MIKE FOUR NINER INDIA QUEBEC,DPRP,EDDS,EKCH,,22:32,,0,0,0,Default,
ECA620,DARK KNIGHT SIX TWO ZERO,BIZ0,EDDS,EGBB,,22:52,,0,0,0,Default,
